Date,Ticker,Open,High,Low,Returns
07/22/2011,IGUSA10D,,,,2.83452
07/25/2011,IGUSA10D,,,,2.869713
07/26/2011,IGUSA10D,,,,2.821364
07/27/2011,IGUSA10D,,,,2.856791
07/28/2011,IGUSA10D,,,,2.827126
07/29/2011,IGUSA10D,,,,2.693382
08/01/2011,IGUSA10D,,,,2.649782
08/02/2011,IGUSA10D,,,,2.55626
08/03/2011,IGUSA10D,,,,2.538624
08/04/2011,IGUSA10D,,,,2.422082
08/05/2011,IGUSA10D,,,,2.532012
08/08/2011,IGUSA10D,,,,2.38248
08/09/2011,IGUSA10D,,,,2.156
08/10/2011,IGUSA10D,,,,2.15698
08/11/2011,IGUSA10D,,,,2.30373
08/12/2011,IGUSA10D,,,,2.210656
08/15/2011,IGUSA10D,,,,2.243742
08/16/2011,IGUSA10D,,,,2.189414
08/17/2011,IGUSA10D,,,,2.126817
08/18/2011,IGUSA10D,,,,2.058992
08/19/2011,IGUSA10D,,,,2.049093
08/22/2011,IGUSA10D,,,,2.07837
08/23/2011,IGUSA10D,,,,2.12463
08/24/2011,IGUSA10D,,,,2.260917
08/25/2011,IGUSA10D,,,,2.202794
08/26/2011,IGUSA10D,,,,2.149266
08/29/2011,IGUSA10D,,,,2.226648
08/30/2011,IGUSA10D,,,,2.142258
08/31/2011,IGUSA10D,,,,2.180271
09/01/2011,IGUSA10D,,,,2.098185
09/02/2011,IGUSA10D,,,,1.99071
09/06/2011,IGUSA10D,,,,1.9602
09/07/2011,IGUSA10D,,,,2.01761
09/08/2011,IGUSA10D,,,,1.9772
09/09/2011,IGUSA10D,,,,1.923631
09/12/2011,IGUSA10D,,,,1.924868
09/13/2011,IGUSA10D,,,,1.9722
09/14/2011,IGUSA10D,,,,2.009903
09/15/2011,IGUSA10D,,,,2.055515
09/16/2011,IGUSA10D,,,,2.033616
09/19/2011,IGUSA10D,,,,1.950103
09/20/2011,IGUSA10D,,,,1.934205
09/21/2011,IGUSA10D,,,,1.8941
09/22/2011,IGUSA10D,,,,1.76816
09/23/2011,IGUSA10D,,,,1.891336
09/26/2011,IGUSA10D,,,,1.957941
09/27/2011,IGUSA10D,,,,2.0388
09/28/2011,IGUSA10D,,,,2.096787
09/29/2011,IGUSA10D,,,,2.060645
09/30/2011,IGUSA10D,,,,2.015808
10/03/2011,IGUSA10D,,,,1.8981
10/04/2011,IGUSA10D,,,,1.904844
10/05/2011,IGUSA10D,,,,1.998144
10/06/2011,IGUSA10D,,,,2.085174
10/07/2011,IGUSA10D,,,,2.18274
10/11/2011,IGUSA10D,,,,2.24213
10/12/2011,IGUSA10D,,,,2.278976
10/13/2011,IGUSA10D,,,,2.234457
10/14/2011,IGUSA10D,,,,2.281244
10/17/2011,IGUSA10D,,,,2.230576
10/18/2011,IGUSA10D,,,,2.222631
10/19/2011,IGUSA10D,,,,2.221856
10/20/2011,IGUSA10D,,,,2.2352
10/21/2011,IGUSA10D,,,,2.245387
10/24/2011,IGUSA10D,,,,2.258325
10/25/2011,IGUSA10D,,,,2.175096
10/26/2011,IGUSA10D,,,,2.238697
10/27/2011,IGUSA10D,,,,2.39701
10/28/2011,IGUSA10D,,,,2.320812
10/31/2011,IGUSA10D,,,,2.168915
11/01/2011,IGUSA10D,,,,2.049798
11/02/2011,IGUSA10D,,,,2.058217
11/03/2011,IGUSA10D,,,,2.105048
11/04/2011,IGUSA10D,,,,2.098728
11/07/2011,IGUSA10D,,,,2.06652
11/08/2011,IGUSA10D,,,,2.1189
11/09/2011,IGUSA10D,,,,2.045
11/10/2011,IGUSA10D,,,,2.074884
11/14/2011,IGUSA10D,,,,2.073048
11/15/2011,IGUSA10D,,,,2.103466
11/16/2011,IGUSA10D,,,,2.057235
11/17/2011,IGUSA10D,,,,2.01684
11/18/2011,IGUSA10D,,,,2.063667
11/21/2011,IGUSA10D,,,,2.044663
11/22/2011,IGUSA10D,,,,2.013526
11/23/2011,IGUSA10D,,,,1.979397
11/25/2011,IGUSA10D,,,,2.065939
11/28/2011,IGUSA10D,,,,2.039935
11/29/2011,IGUSA10D,,,,2.0606
11/30/2011,IGUSA10D,,,,2.119936
12/01/2011,IGUSA10D,,,,2.139329
12/02/2011,IGUSA10D,,,,2.0869
12/05/2011,IGUSA10D,,,,2.07468
12/06/2011,IGUSA10D,,,,2.09976
12/07/2011,IGUSA10D,,,,2.038584
12/08/2011,IGUSA10D,,,,2.033581
12/09/2011,IGUSA10D,,,,2.107881
12/12/2011,IGUSA10D,,,,2.082577
12/13/2011,IGUSA10D,,,,2.026248
12/14/2011,IGUSA10D,,,,1.995648
12/15/2011,IGUSA10D,,,,1.98624
12/16/2011,IGUSA10D,,,,1.930308
12/19/2011,IGUSA10D,,,,1.888796
12/20/2011,IGUSA10D,,,,1.998588
12/21/2011,IGUSA10D,,,,2.032272
12/22/2011,IGUSA10D,,,,2.010976
12/23/2011,IGUSA10D,,,,2.069585
12/27/2011,IGUSA10D,,,,2.057774
12/28/2011,IGUSA10D,,,,1.976706
12/29/2011,IGUSA10D,,,,1.949155
12/30/2011,IGUSA10D,,,,1.926477
01/03/2012,IGUSA10D,,,,1.991473
01/04/2012,IGUSA10D,,,,2.0246
01/05/2012,IGUSA10D,,,,2.059794
01/06/2012,IGUSA10D,,,,2.033658
01/09/2012,IGUSA10D,,,,2.026134
01/10/2012,IGUSA10D,,,,2.0336
01/11/2012,IGUSA10D,,,,1.96667
01/12/2012,IGUSA10D,,,,1.975308
01/13/2012,IGUSA10D,,,,1.932147
01/17/2012,IGUSA10D,,,,1.898237
01/18/2012,IGUSA10D,,,,1.941888
01/19/2012,IGUSA10D,,,,2.032512
01/20/2012,IGUSA10D,,,,2.07624
01/23/2012,IGUSA10D,,,,2.105466
01/24/2012,IGUSA10D,,,,2.100176
01/25/2012,IGUSA10D,,,,2.01804
01/26/2012,IGUSA10D,,,,1.962744
01/27/2012,IGUSA10D,,,,1.931737
01/30/2012,IGUSA10D,,,,1.874114
01/31/2012,IGUSA10D,,,,1.834758
02/01/2012,IGUSA10D,,,,1.867756
02/02/2012,IGUSA10D,,,,1.858512
02/03/2012,IGUSA10D,,,,1.956013
02/06/2012,IGUSA10D,,,,1.921122
02/07/2012,IGUSA10D,,,,1.9888
02/08/2012,IGUSA10D,,,,2.00196
02/09/2012,IGUSA10D,,,,2.029596
02/10/2012,IGUSA10D,,,,1.964116
02/13/2012,IGUSA10D,,,,1.988408
02/14/2012,IGUSA10D,,,,1.917888
02/15/2012,IGUSA10D,,,,1.92807
02/16/2012,IGUSA10D,,,,1.982438
02/17/2012,IGUSA10D,,,,2.001357
02/21/2012,IGUSA10D,,,,2.042825
02/22/2012,IGUSA10D,,,,2.01
02/23/2012,IGUSA10D,,,,1.985025
02/24/2012,IGUSA10D,,,,1.979208
02/27/2012,IGUSA10D,,,,1.917888
02/28/2012,IGUSA10D,,,,1.929136
02/29/2012,IGUSA10D,,,,1.959012
03/01/2012,IGUSA10D,,,,2.000768
03/02/2012,IGUSA10D,,,,1.967911
