Date,Ticker,Open,High,Low,Close,Returns
04/15/2010,_CNDD,808.06,818.54,807.07,808.81,0.09281489
04/16/2010,_CNDD,803.52,807.88,789.66,792.75,-1.340352449
04/19/2010,_CNDD,782.84,788.63,774.38,784.17,0.169894231
04/20/2010,_CNDD,790.31,799.93,787.58,797.86,0.95532133
04/21/2010,_CNDD,797.72,807.75,788.41,792.33,-0.675675676
04/22/2010,_CNDD,785.16,793.47,775.62,792.56,0.942483061
04/23/2010,_CNDD,792.61,793.47,784.32,790.07,-0.320460252
04/26/2010,_CNDD,787.35,804.04,773.1,803.08,1.997840859
04/27/2010,_CNDD,799.52,812.5,784.68,786.66,-1.608465079
04/28/2010,_CNDD,792.23,796.37,780.93,792.59,0.045441349
04/29/2010,_CNDD,787.24,799.13,784.31,797.62,1.318530562
04/30/2010,_CNDD,796.21,805.45,784.14,785.09,-1.396616471
05/03/2010,_CNDD,787.68,794.07,782.95,789.56,0.238675604
05/04/2010,_CNDD,780.05,780.05,759.94,763.44,-2.129350683
05/05/2010,_CNDD,750.41,765.87,746.26,754.93,0.602337389
05/06/2010,_CNDD,750.14,762.16,695.07,735.68,-1.927640174
05/07/2010,_CNDD,731.41,740.88,703.09,716.6,-2.0248561
05/10/2010,_CNDD,744.75,747.01,737.13,743.3,-0.194696207
05/11/2010,_CNDD,742.54,764.43,742.41,752.92,1.39790449
05/12/2010,_CNDD,758.91,768.78,756.58,763.12,0.554742987
05/13/2010,_CNDD,761.48,766.68,744.58,747.28,-1.86478962
05/14/2010,_CNDD,745.94,748.75,727.46,743.01,-0.392792986
05/17/2010,_CNDD,737.88,744.42,724.84,737.67,-0.028459912
05/18/2010,_CNDD,744.22,750.39,726.83,730.92,-1.787105963
05/19/2010,_CNDD,724.74,731.7,708.29,718.63,-0.84306096
05/20/2010,_CNDD,697.9,697.9,681.84,683.63,-2.044705545
05/21/2010,_CNDD,667.89,698.77,662.72,690.21,3.341867673
05/24/2010,_CNDD,693.04,696.91,672.11,672.81,-2.919023433
05/25/2010,_CNDD,650.41,669.56,649.71,669.13,2.87818453
05/26/2010,_CNDD,679.9,690.36,672.26,672.65,-1.066333284
05/27/2010,_CNDD,685.52,699.4,683.28,699.31,2.011611623
05/28/2010,_CNDD,702.77,702.77,685.03,690.77,-1.707528779
